cluster_id,n_grants,names,orcids,institutions,for_names,grant_ids,confirmed_different_people,notes
DP0986372_DeidreCarter,3,Deidre Carter,0000-0002-4638-0059,University of Technology Sydney; The University of Sydney,Food sciences; Medical microbiology; Microbiology,DP210101358_DeidreCarter; DP0986372_DeidreCarter; LP0990949_DeidreCarter,,
DP1096759_LindaBotterill,3,Linda Botterill,0000-0002-6060-5090,The Australian National University; University of Canberra,Policy and administration; Political science,DP140100311_LindaBotterill; DP1096759_LindaBotterill; LP0990000_LindaBotterill,,
DP150102472_YanWang,3,Yan Wang,0000-0003-1635-5554,The University of Melbourne; RMIT University,Environmental management,DP220102666_YanWang; DP190100613_YanWang; DP150102472_YanWang,,
DP0452696_GuangzhongLuo,2,Guangzhong Luo,,Murdoch University; The University of Western Australia,Applied and developmental psychology; Specialist studies in education,DP0452696_GuangzhongLuo; LP0454080_GuangzhongLuo,,
DP0453173_GregoryRouse,2,Gregory Rouse,,The University of Sydney; The University of Adelaide,Evolutionary biology,DP0558736_GregoryRouse; DP0453173_GregoryRouse,,
DP0345145_BennettMacdonald,2,Bennett Macdonald,,The Australian National University; Southern Cross University,Environmental management; Soil sciences,DP0345145_BennettMacdonald; LP0454286_BennettMacdonald,,
DP0209388_CharlesSkilbeck,2,Charles Skilbeck,,University of Technology Sydney; The University of Newcastle,Geochemistry; Soil sciences,DP0209388_CharlesSkilbeck; LP0455110_CharlesSkilbeck,,
DP0210581_GlendaHarwardNalder,2,Glenda Harward-Nalder,,Griffith University; Queensland University of Technology,Screen and digital media; Specialist studies in education,LP0348037_GlendaHarwardNalder; DP0210581_GlendaHarwardNalder,,
DP0451275_WilliamAshcroft,2,William Ashcroft,,Deakin University; The University of New South Wales,Literary studies,DP0451275_WilliamAshcroft; DP110100012_WilliamAshcroft,,
DP0209169_WilliamMcGeorge,2,William McGeorge,,The University of New South Wales; The University of Newcastle,Building,DP0209169_WilliamMcGeorge; LP0455456_WilliamMcGeorge,,
DE250101001_HungHoNguyen,2,Hung Ho-Nguyen,0000-0003-4464-7730,The University of Sydney; Monash University,Econometrics; Numerical and Computational Mathematics,DE250101001_HungHoNguyen; DP250100702_HungHoNguyen,,
DE170100841_AnaMartinsSequeira,2,Ana Martins Sequeira,0000-0001-6906-799X,The Australian National University; The University of Western Australia,Ecology,DP210103091_AnaMartinsSequeira; DE170100841_AnaMartinsSequeira,,
DE140101096_MargarethaVanDerMerwe,2,Margaretha VanDerMerwe,,The University of Western Australia; La Trobe University,Plant biology,DE140101096_MargarethaVanDerMerwe; DP140100321_MargarethaVanDerMerwe,,
DE150101523_MeifenKuo,2,Mei-fen Kuo,,The University of Queensland; La Trobe University,Historical studies,DE150101523_MeifenKuo; LP100200479_MeifenKuo,,
DP0208754_SverreMyhra,2,Sverre Myhra,0000-0003-2904-152X,Griffith University; Swinburne University of Technology,Medical and biological physics; Nanotechnology,DP0208754_SverreMyhra; DP0559782_SverreMyhra,,
DE200101019_GregoryWalter,2,Gregory Walter,0000-0002-0883-3440,University of Tasmania; Monash University,Evolutionary Biology; Evolutionary biology,FT240100466_GregoryWalter; DE200101019_GregoryWalter,,
DP0342843_JosephDortch,2,Joseph Dortch,0000-0002-0510-5456,The University of Sydney; Curtin University,Archaeology,DP0342843_JosephDortch; DP120103725_JosephDortch,,
DP0557726_LazarStrezov,2,Lazar Strezov,,Deakin University; University of Wollongong,Materials engineering; Resources engineering and extractive metallurgy,DP0879319_LazarStrezov; DP0557726_LazarStrezov,,
DP110101627_GlennTrembath,2,Glenn Trembath,,The University of Melbourne; Australian Catholic University,Historical studies,LP0560359_GlennTrembath; DP110101627_GlennTrembath,,
DP110100881_TheodorusSloots,2,Theodorus Sloots,0000-0003-1643-1908,The University of Sydney; The University of Queensland,Microbiology; Sociology,DP110100881_TheodorusSloots; LP0884126_TheodorusSloots,,
